Wavelength,RGB,RB,White
636.189,1058.38,733.11,1947.27
636.523,1063.67,683.4,1944.27
636.856,1055.38,630.54,1912.41
637.189,1052.52,595.25,1911.27
637.523,1039.1,553.54,1895.27
637.856,1017.1,518.11,1882.7
638.189,1009.52,488.11,1870.7
638.522,985.81,449.4,1859.84
638.855,959.81,422.68,1842.27
639.188,927.95,393.4,1820.98
639.521,899.67,374.25,1822.13
639.854,873.24,349.11,1798.13
640.187,856.24,328.97,1788.13
640.52,819.1,305.25,1760.98
640.853,796.81,287.25,1749.98
641.186,765.81,270.68,1743.7
641.518,739.1,251.97,1716.13
641.851,709.38,237.54,1699.41
642.184,697.81,222.97,1705.27
642.516,660.95,208.83,1670.27
642.849,635.1,198.83,1654.13
643.181,610.24,189.4,1641.7
643.514,584.81,171.97,1637.84
643.846,552.52,160.97,1610.56
644.179,524.1,149.11,1602.56
644.511,495.24,141.68,1593.98
644.843,470.52,134.25,1579.13
645.175,443.24,127.25,1563.84
645.508,418.24,118.83,1557.56
645.84,391.95,111.83,1528.7
646.172,370.52,106.11,1522.41
646.504,351.24,99.4,1502.13
646.836,330.24,93.11,1487.27
647.168,310.1,89.68,1474.56
647.5,292.67,84.97,1467.84
647.832,281.38,79.68,1455.13
648.164,263.52,75.54,1448.7
648.495,251.67,72.4,1435.98
648.827,239.24,66.4,1403.98
649.159,224.24,65.68,1399.41
649.491,213.95,61.11,1394.7
649.822,207.24,60.54,1370.84
650.154,196.95,58.25,1360.84
650.485,185.38,54.25,1345.98
650.817,177.81,51.11,1333.56
651.148,169.1,48.54,1331.27
651.48,164.24,49.4,1315.7
651.811,158.52,45.68,1308.27
652.142,148.24,42.68,1286.84
652.473,142.67,44.25,1276.13
652.805,133.1,40.83,1260.7
653.136,126.81,40.25,1251.56
653.467,118.67,37.54,1233.84
653.798,114.38,37.11,1225.98
654.129,108.95,35.68,1213.56
654.46,103.24,33.54,1199.84
654.791,100.24,31.97,1199.27
655.122,90.95,32.68,1184.56
655.453,87.24,32.25,1175.98
655.783,85.38,29.97,1164.98
656.114,81.95,31.4,1145.41
656.445,78.1,29.97,1127.84
656.776,71.67,27.83,1121.7
657.106,70.67,28.97,1105.56
657.437,69.1,27.11,1100.7
657.767,64.95,28.54,1091.13
658.098,62.38,24.83,1079.27
658.428,58.52,23.68,1063.27
658.759,54.81,25.4,1050.7
659.089,54.38,22.68,1041.56
659.419,53.67,21.54,1034.7
659.75,53.24,22.4,1030.56
660.08,46.95,22.25,1013.84
660.41,45.52,21.97,1005.84
660.74,46.38,22.4,989.13
661.07,41.24,22.97,975.84
661.4,40.24,22.54,971.13
661.73,40.1,20.25,951.13
662.06,37.67,20.11,943.98
662.39,36.67,18.54,944.41
662.72,34.52,18.25,930.41
663.05,33.95,19.97,910.84
663.379,32.95,19.25,912.56
663.709,31.24,19.83,899.84
664.039,31.52,18.68,886.7
664.368,31.52,17.4,877.7
664.698,29.67,17.83,868.7
665.027,30.38,18.68,863.13
665.357,30.38,17.97,850.56
665.686,25.67,16.68,832.84
666.016,27.24,15.4,834.41
666.345,26.52,15.83,820.13
666.674,24.52,16.25,806.56
667.003,25.81,15.4,805.27
667.333,24.67,14.97,798.41
667.662,23.1,15.68,783.7
667.991,23.38,17.25,776.13
668.32,21.52,15.25,764.98
668.649,23.38,15.54,757.7
668.978,22.52,16.11,742.98
669.307,22.52,17.68,736.41
669.636,20.95,15.68,727.7
669.965,19.52,14.25,720.98
670.293,19.81,14.68,714.56
670.622,20.67,15.83,702.98
670.951,20.81,14.4,697.98
671.279,19.24,13.97,691.98
671.608,19.24,13.97,673.98
671.937,18.67,16.11,669.27
672.265,18.67,14.4,661.27
672.594,19.95,15.25,656.98
672.922,19.95,16.54,650.56
673.25,17.24,16.4,646.98
673.579,17.67,15.4,636.13
